Talhão;Código;Latitude;Longitude
GZ-01;AL550503Z;-16.686;-53.733
GZ-02;AL553914Z;-16.702;-53.739
GZ-02;AL550504Z;-16.694;-53.737
GZ-03;AL553915Z;-16.702;-53.739
GZ-03;AL552043Z;-16.696;-53.748
GZ-03;AL551043Z;-16.698;-53.744
GZ-04;AL553916Z;-16.702;-53.739
GZ-04;AL553701Z;-16.703;-53.745
GZ-04;AL552044Z;-16.7;-53.757
GZ-05;AL553917Z;-16.702;-53.739
GZ-05;AL550505Z;-16.709;-53.748
GZ-06;AL553918Z;-16.702;-53.739
GZ-06;AL550506Z;-16.717;-53.751
GZ-07;AL553919Z;-16.702;-53.739
GZ-07;AL551045Z;-16.71;-53.761
GZ-08;AL553920Z;-16.702;-53.739
GZ-08;AL551046Z;-16.717;-53.765
GZ-09;AL553921Z;-16.707;-53.771
GZ-09;AL551137Z;-16.711;-53.779
GZ-10;AL553922Z;-16.707;-53.771
GZ-10;AL551050Z;-16.706;-53.781
GZ-11;AL553923Z;-16.707;-53.771
GZ-11;AL551051Z;-16.695;-53.781
GZ-12;AL553924Z;-16.707;-53.771
GZ-12;AL552008Z;-16.697;-53.766
GZ-12;AL551138Z;-16.696;-53.776
GZ-13;AL551047Z;-16.681;-53.782
GZ-14;AL553925Z;-16.707;-53.771
GZ-14;AL551048Z;-16.685;-53.788
GZ-14;AL551367Z;-16.692;-53.787
GZ-15;AL553926Z;-16.707;-53.771
GZ-15;AL551052Z;-16.702;-53.793
GZ-16;AL553927Z;-16.707;-53.771
GZ-16;AL552009Z;-16.696;-53.798
GZ-16;AL551053Z;-16.697;-53.795
GZ-17;AL553928Z;-16.707;-53.771
GZ-17;AL551049Z;-16.686;-53.794
GZ-18;AL553929Z;-16.689;-53.806
GZ-18;AL551056Z;-16.684;-53.803
GZ-19;AL553930Z;-16.707;-53.771
GZ-19;AL551057Z;-16.695;-53.803
GZ-20;AL551139Z;-16.709;-53.819
GZ-21;AL553727Z;-16.666;-53.805
GZ-21;AL551140Z;-16.671;-53.812
GZ-22;AL551365Z;-16.66;-53.804
GZ-23;AL551042Z;-16.651;-53.815
GZ-24;AL551141Z;-16.662;-53.821
GZ-25;AL551054Z;-16.65;-53.834
GZ-26;AL551142Z;-16.673;-53.818
GZ-27;AL551143Z;-16.669;-53.827
GZ-28;AL551144Z;-16.683;-53.823
GZ-29;AL551055Z;-16.689;-53.826
GZ-30;AL551145Z;-16.685;-53.839
H-201;AL550928Z;-13.734;-55.495
H-202;AL552027Z;-13.748;-55.504
H-203;AL550020Z;-13.738;-55.51
H-204;AL553615Z;-13.749;-55.507
H-204;AL550021Z;-13.744;-55.515
H-205;AL550022Z;-13.75;-55.502
H-206;AL551034Z;-13.766;-55.516
IP-01;AL551146Z;-10.556;-45.375
IP-01;AL548134Z;-10.566;-45.366
IP-02;AL551147Z;-10.562;-45.358
IP-02;AL549514Z;-10.567;-45.358
IP-03;AL551148Z;-10.559;-45.349
IP-03;AL549515Z;-10.559;-45.349
IP-04;AL551149Z;-10.574;-45.347
IP-04;AL549516Z;-10.576;-45.346
IP-05;AL551150Z;-10.585;-45.343
IP-05;AL549517Z;-10.585;-45.343
JA-301;AL553774Z;-13.677;-55.486
JA-301;AL550507Z;-13.703;-55.471
JA-302;AL553775Z;-13.677;-55.486
JA-302;AL550508Z;-13.713;-55.477
JA-303;AL553776Z;-13.677;-55.486
JA-303;AL550509Z;-13.699;-55.476
JA-304;AL553777Z;-13.677;-55.486
JA-304;AL550510Z;-13.688;-55.472
JA-305;AL553778Z;-13.677;-55.486
JA-305;AL550511Z;-13.691;-55.479
JA-306;AL550512Z;-13.677;-55.472
JA-307;AL551776Z;-13.677;-55.486
JA-307;AL550513Z;-13.68;-55.478
JA-308;AL553779Z;-13.677;-55.486
JA-308;AL550514Z;-13.669;-55.473
JA-309;AL553780Z;-13.677;-55.486
JA-309;AL550515Z;-13.671;-55.479
JA-310;AL553781Z;-13.677;-55.486
JA-310;AL550516Z;-13.657;-55.475
JA-311;AL550517Z;-13.657;-55.481
JA-312;AL550518Z;-13.647;-55.476
JA-313;AL553782Z;-13.677;-55.486
JA-313;AL550519Z;-13.646;-55.482
JA-314;AL550520Z;-13.635;-55.477
JA-315;AL553783Z;-13.677;-55.486
JA-315;AL550521Z;-13.634;-55.485
JA-316;AL550522Z;-13.626;-55.478
JA-317;AL553784Z;-13.677;-55.486
JA-317;AL549932Z;-13.623;-55.498
JA-317;AL552022Z;-13.622;-55.49
JA-318;AL550524Z;-13.614;-55.499
JA-319;AL553785Z;-13.615;-55.468
JA-319;AL550814Z;-13.615;-55.468
JA-320;AL553786Z;-13.598;-55.515
JA-320;AL551020Z;-13.598;-55.515
JII-01;AL550069Z;-16.743;-53.996
JII-02;AL550070Z;-16.75;-53.991
