Sensor/Armadilha;Latitude;Longitude
TA-P05;-13,3090;-56,5740
TA-P06;-13,2750;-56,5560
TA-P07;-13,3280;-56,5520
TA-P08;-13,3400;-56,5380
TA-P09;-13,3350;-56,5190
TA-P10;-13,3560;-56,5030
TA-P11;-13,3380;-56,4970
TA-P12;-13,3420;-56,4830
TP-P01;-16,7600;-53,7550
TP-P02;-16,7430;-53,7370
UM-P01;-13,8280;-59,1060
UM-P02;-13,8320;-59,0810
UM-P03;-13,8360;-59,0580
UM-P04;-13,8520;-59,0680
UM-P05;-13,8610;-59,0540
UM-P06;-13,8380;-59,0270
UM-P07;-13,8720;-59,0360
VC-P01;-12,9610;-56,2170
VC-P02;-12,9790;-56,2130
VC-P04;-12,9830;-56,2260
VE-P01;-10,4420;-45,4920
VE-P02;-10,4160;-45,4830
VE-P03;-10,4230;-45,5000
VE-P04;-10,4300;-45,5170
VE-P05;-10,4050;-45,5080
VE-P06;-10,3840;-45,4700
VE-P07;-10,3590;-45,4600
VE-P11;-10,4340;-45,4750
VE-P12;-10,3770;-45,4540
VE-SEDE;-10,4010;-45,4800
VI-P01;-16,6660;-53,8850
VI-P02;-16,6540;-53,8670
VR-P01;-13,3780;-55,7270
VR-P02;-13,3830;-55,7130
VR-P03;-13,3910;-55,7120
WS-P01;-10,5230;-45,6180
WS-P02;-10,5060;-45,6120
WS-P03;-10,5470;-45,6070
WS-P04;-10,5350;-45,5870
WS-P05;-10,5180;-45,5810
WS-P06;-10,5010;-45,5740
WS-P07;-10,5120;-45,5430
WS-P08;-10,4950;-45,5370
WS-P09;-10,5100;-45,5230
WS-P10;-10,4930;-45,5160
WS-SEDE;-10,5380;-45,6040
YA-P01;-12,8590;-56,4020
YA-P02;-12,8720;-56,4240
YA-P03;-12,8480;-56,4410
YA-P04;-12,8880;-56,4460
ZE-P01;-13,7330;-52,6590
ZE-P02;-13,7380;-52,6250
ZE-P03;-13,7470;-52,6020
ZE-P04;-13,7240;-52,6120
ZE-P05;-13,7240;-52,5830
ZE-P06;-13,7010;-52,5670
ZE-P07;-13,7600;-52,6480
ZE-P08;-13,7640;-52,6280
ZE-P09;-13,7860;-52,6080
ZG-P01;-10,4850;-45,4760
ZG-P02;-10,4850;-45,3920
