Sensor/Armadilha;Latitude;Longitude
SA-P01;-16.836;-53.965
SA-P02;-16.811;-53.929
SC-P01;-16.788;-54.812
SC-P01;-16.754;-53.879
SC-P02;-16.809;-54.808
SC-P02;-16.73;-53.868
SC-P03;-16.805;-54.824
SC-P03;-16.725;-53.84
SC-P04;-16.701;-53.846
SC-P04;-16.799;-54.849
SC-P05;-16.722;-53.863
SC-P05;-16.786;-54.847
SC-P06;-16.767;-54.866
SC-P07;-16.74;-54.844
SC-P08;-16.764;-54.803
SC-P09;-16.746;-54.79
SC-P10;-16.764;-54.774
SC-P11;-16.783;-54.79
SC-P12;-16.796;-54.782
SD-P01;-13.774;-52.692
SD-P02;-13.746;-52.687
SD-P03;-13.728;-52.685
SD-P04;-13.699;-52.673
SD-P05;-13.675;-52.673
SD-P06;-13.66;-52.663
SD-P07;-13.673;-52.692
SD-P08;-13.669;-52.641
SE-P01;-16.83;-54.08
SE-P02;-16.836;-54.089
SE-P03;-16.85;-54.105
SG-P01;-16.702;-53.91
SG-P02;-16.683;-53.906
SJ-P01;-16.742;-53.769
SJ-P02;-16.733;-53.746
SM-P01;-16.743;-53.83
SM-P02;-16.751;-53.842
Solinftec Gauge - test;-13.688;-51.049
SO-P01;-10.6;-45.44
SO-P02;-10.592;-45.428
SP-P01;-16.763;-54.563
SP-P02;-16.765;-54.591
SP-P03;-16.75;-54.6
SP-P04;-16.735;-54.614
SP-P05;-16.731;-54.64
SP-P06;-16.715;-54.632
SP-P07;-16.71;-54.644
SP-P08;-16.696;-54.633
SP-P09;-16.684;-54.621
SS-P01;-14.3;-56.444
SS-P02;-14.281;-56.475
SS-P03;-14.277;-56.493
SS-P04;-14.266;-56.493
SS-P05;-14.218;-56.511
SS-P06;-14.228;-56.551
SU-P01;-16.826;-53.931
SU-P02;-16.842;-53.939
SU-P03;-16.856;-53.964
SZ-P01;-12.891;-56.255
SZ-P02;-12.874;-56.263
SZ-P03;-12.889;-56.245
TA-P01;-13.372;-56.6
TA-P02;-13.336;-56.574
TA-P03;-13.315;-56.601
TA-P04;-13.299;-56.611
TA-P05;-13.309;-56.574
TA-P06;-13.275;-56.556
TA-P07;-13.328;-56.552
TA-P08;-13.34;-56.538
TA-P09;-13.335;-56.519
TA-P10;-13.356;-56.503
TA-P11;-13.338;-56.497
TA-P12;-13.342;-56.483
TP-P01;-16.76;-53.755
TP-P02;-16.743;-53.737
UM-P01;-13.828;-59.106
UM-P02;-13.832;-59.081
UM-P03;-13.836;-59.058
UM-P04;-13.852;-59.068
UM-P05;-13.861;-59.054
UM-P06;-13.838;-59.027
UM-P07;-13.872;-59.036
VC-P01;-12.961;-56.217
VC-P02;-12.979;-56.213
VC-P04;-12.983;-56.226
VE-P01;-10.442;-45.492
VE-P02;-10.416;-45.483
VE-P03;-10.423;-45.5
VE-P04;-10.43;-45.517
VE-P05;-10.405;-45.508
VE-P06;-10.384;-45.47
VE-P07;-10.359;-45.46
VE-P11;-10.434;-45.475
VE-P12;-10.377;-45.454
VE-SEDE;-10.401;-45.48
VI-P01;-16.666;-53.885
VI-P02;-16.654;-53.867
VR-P01;-13.378;-55.727
VR-P02;-13.383;-55.713
VR-P03;-13.391;-55.712
WS-P01;-10.523;-45.618
WS-P02;-10.506;-45.612
WS-P03;-10.547;-45.607
WS-P04;-10.535;-45.587
WS-P05;-10.518;-45.581
WS-P06;-10.501;-45.574
WS-P07;-10.512;-45.543
WS-P08;-10.495;-45.537
WS-P09;-10.51;-45.523
WS-P10;-10.493;-45.516
WS-SEDE;-10.538;-45.604
YA-P01;-12.859;-56.402
YA-P02;-12.872;-56.424
YA-P03;-12.848;-56.441
YA-P04;-12.888;-56.446
ZE-P01;-13.733;-52.659
ZE-P02;-13.738;-52.625
ZE-P03;-13.747;-52.602
ZE-P04;-13.724;-52.612
ZE-P05;-13.724;-52.583
ZE-P06;-13.701;-52.567
ZE-P07;-13.76;-52.648
ZE-P08;-13.764;-52.628
ZE-P09;-13.786;-52.608
ZG-P01;-10.485;-45.476
ZG-P02;-10.485;-45.392
